Datetime	        Return	        TC	        PWMA	        CFO
2025-02-10 00:00:00	0.009715	0.127572	97155.734833	1.496605
2025-02-11 00:00:00	-0.017346	0.079139	96746.202744	-0.110686
2025-02-12 00:00:00	0.022334	0.068085	96615.373566	1.782957
2025-02-13 00:00:00	-0.012892	0.030571	96637.250595	-0.104018
2025-02-14 00:00:00	0.009160	0.005969	96709.903870	0.349675
2025-02-15 00:00:00	0.000732	0.007769	96800.921417	0.179892
2025-02-16 00:00:00	-0.014402	0.041037	96919.041931	-0.960803
2025-02-17 00:00:00	-0.004176	0.119313	97048.319534	-0.930524
2025-02-18 00:00:00	-0.002442	0.239785	97109.464294	-0.671594
2025-02-19 00:00:00	0.011472	0.418379	96999.512695	0.521773
2025-02-20 00:00:00	0.017575	0.598858	96702.252457	1.510714
2025-02-21 00:00:00	-0.022458	0.671926	96377.750198	-0.301721
2025-02-22 00:00:00	0.004704	0.763340	96270.214111	0.032839
2025-02-23 00:00:00	-0.003146	0.750125	96451.389221	-0.121088
2025-02-24 00:00:00	-0.050437	0.702318	96702.560440	-3.648562
2025-02-25 00:00:00	-0.029338	0.735693	96692.847549	-4.282994
2025-02-26 00:00:00	-0.049463	0.740022	96164.481598	-5.522333
2025-02-27 00:00:00	0.004235	0.711783	94915.225433	-1.720294
2025-02-28 00:00:00	-0.003910	0.717640	92853.395569	0.726054
2025-03-01 00:00:00	0.019662	0.709886	90247.287109	3.802195
2025-03-02 00:00:00	0.095505	0.669694	87773.270493	9.263488
2025-03-03 00:00:00	-0.086820	0.660379	86185.889801	0.972191
2025-03-04 00:00:00	0.013438	0.669779	85905.968430	1.425412
2025-03-05 00:00:00	0.038997	0.687101	86725.704666	2.504998
2025-03-06 00:00:00	-0.007303	0.642812	87841.693207	0.139326
2025-03-07 00:00:00	-0.035782	0.646488	88507.562393	-3.467338
2025-03-08 00:00:00	-0.006780	0.639795	88691.763763	-2.945217
2025-03-09 00:00:00	-0.064460	0.608870	88721.086746	-6.311381
2025-03-10 00:00:00	-0.025670	0.589168	88486.197769	-4.577663
2025-03-11 00:00:00	0.055139	0.615873	87527.822998	2.594856
2025-03-12 00:00:00	0.010380	0.612436	85747.022888	2.761336
2025-03-13 00:00:00	-0.031720	0.638406	83697.941635	1.156519
2025-03-14 00:00:00	0.035803	0.672027	82224.148773	4.304773
2025-03-15 00:00:00	0.004454	0.700455	81776.393616	3.291909
2025-03-16 00:00:00	-0.020908	0.720109	82078.659515	0.242030
2025-03-17 00:00:00	0.018116	0.745469	82577.368912	0.721983
2025-03-18 00:00:00	-0.016142	0.751682	82997.476242	-1.690117
2025-03-19 00:00:00	0.049998	0.743162	83300.737701	1.824211
2025-03-20 00:00:00	-0.030937	0.752960	83489.298203	-0.680516
2025-03-21 00:00:00	-0.001473	0.733351	83664.576050	-0.812340
2025-03-22 00:00:00	-0.002508	0.725352	83968.550110	-1.090591
2025-03-23 00:00:00	0.026504	0.666484	84337.099594	1.227598
2025-03-24 00:00:00	0.016786	0.632010	84552.594284	1.648334
2025-03-25 00:00:00	-0.000311	0.599234	84613.760056	0.552786
2025-03-26 00:00:00	-0.006526	0.565061	84824.911942	-0.343258
2025-03-27 00:00:00	0.003179	0.500502	85406.205734	-0.449660
2025-03-28 00:00:00	-0.032393	0.407087	86180.782654	-2.572193
2025-03-29 00:00:00	-0.020812	0.306162	86744.564087	-3.644871
2025-03-30 00:00:00	-0.003185	0.217252	86802.051529	-2.383961
2025-03-31 00:00:00	0.002604	0.124647	86274.353607	-0.710916
2025-04-01 00:00:00	0.031742	0.064955	85283.908264	2.642325
2025-04-02 00:00:00	-0.031507	0.044574	84177.176208	0.411675
2025-04-03 00:00:00	0.007482	0.040268	83399.880371	1.242473
2025-04-04 00:00:00	0.008916	0.065254	83158.562057	1.620905
2025-04-05 00:00:00	-0.004043	0.067327	83255.952927	0.765145
